algo,train_ratio,test_size,random_state,n_clusters,dataset,total_samples,n_features,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,avg_cluster_size,noise_points,noise_ratio
AgglomerativeAverage,0.7,0.30000000000000004,42,26,spotify,20000,14,,,,1,4397,230.80769230769232,,
Birch,0.7,0.30000000000000004,42,30,spotify,20000,14,0.05289126742756948,2.1383820954141664,280.8778049631269,3,534,200.03333333333333,,
KMeans,0.7,0.30000000000000004,1337,30,spotify,20000,14,0.11078761281980988,1.843878963220542,375.52561680354427,6,424,200.03333333333333,,
MiniBatchKMeans,0.7,0.30000000000000004,1337,30,spotify,20000,14,0.09523301375085301,2.0315470903233925,348.73926385360915,56,396,200.03333333333333,,
Spectral,0.7,0.30000000000000004,1337,30,spotify,20000,14,0.10970506385884582,1.8552505115163391,342.89205776892885,6,524,200.03333333333333,,
GMM,0.7,0.30000000000000004,1337,26,spotify,20000,14,-0.025636059983701984,3.8672251678964917,196.74245762456584,3,860,230.80769230769232,,
DBSCAN,0.7,0.30000000000000004,1337,8,spotify,20000,14,0.006390839384551422,2.378233316327301,281.8225888808733,62,3889,750.125,0.0,0.0
AgglomerativeWard,0.7,0.30000000000000004,1337,30,spotify,20000,14,0.10942399374095572,1.8428369730398155,371.62066940372637,6,409,200.03333333333333,,
AgglomerativeAverage,0.7,0.30000000000000004,1337,27,spotify,20000,14,,,,1,3412,222.25925925925927,,
Birch,0.7,0.30000000000000004,1337,30,spotify,20000,14,0.06079874402864294,2.1809498781794185,288.6097851604838,4,446,200.03333333333333,,
KMeans,0.8,0.19999999999999996,0,30,spotify,20000,14,0.11190389241064501,1.8499928238008612,252.89200036219623,4,276,133.33333333333334,,
MiniBatchKMeans,0.8,0.19999999999999996,0,30,spotify,20000,14,0.099808480296296,1.9250413354234175,228.49376997155147,45,245,133.33333333333334,,
Spectral,0.8,0.19999999999999996,0,30,spotify,20000,14,0.11382789252417146,1.8148025329457007,229.79943771023352,4,325,133.33333333333334,,
GMM,0.8,0.19999999999999996,0,25,spotify,20000,14,,,,1,527,160.0,,
DBSCAN,0.8,0.19999999999999996,0,7,spotify,20000,14,0.016178608830472993,2.188097981698287,153.84323379330186,40,2780,571.4285714285714,0.0,0.0
AgglomerativeWard,0.8,0.19999999999999996,0,30,spotify,20000,14,0.10272068211472803,1.8728509564903788,243.23685096452942,3,282,133.33333333333334,,
AgglomerativeAverage,0.8,0.19999999999999996,0,25,spotify,20000,14,,,,1,2418,160.0,,
Birch,0.8,0.19999999999999996,0,30,spotify,20000,14,0.05756714780339736,2.2022868522545163,194.42903319654818,3,369,133.33333333333334,,
KMeans,0.8,0.19999999999999996,42,30,spotify,20000,14,0.11110542193719486,1.8834664746931324,248.62792768210554,4,250,133.33333333333334,,
MiniBatchKMeans,0.8,0.19999999999999996,42,30,spotify,20000,14,0.09716742487332874,2.0295803305249778,237.31098767349627,19,258,133.33333333333334,,
Spectral,0.8,0.19999999999999996,42,30,spotify,20000,14,0.10853459509292883,1.8182913353320405,224.05918281707434,3,373,133.33333333333334,,
GMM,0.8,0.19999999999999996,42,28,spotify,20000,14,,,,1,511,142.85714285714286,,
DBSCAN,0.8,0.19999999999999996,42,10,spotify,20000,14,-0.0019267295650137789,2.0319856865806747,161.6671130613059,36,2558,400.0,0.0,0.0
AgglomerativeWard,0.8,0.19999999999999996,42,30,spotify,20000,14,0.10343792691578903,1.854170892161061,241.7272383610623,4,332,133.33333333333334,,
AgglomerativeAverage,0.8,0.19999999999999996,42,26,spotify,20000,14,,,,1,2468,153.84615384615384,,
Birch,0.8,0.19999999999999996,42,30,spotify,20000,14,0.04982274654312198,2.2202157439370334,190.48295614063903,3,340,133.33333333333334,,
KMeans,0.8,0.19999999999999996,1337,30,spotify,20000,14,0.10482742299658784,1.8573006715803186,256.1639296677295,4,237,133.33333333333334,,
MiniBatchKMeans,0.8,0.19999999999999996,1337,30,spotify,20000,14,0.10273202128618644,1.9146681190144024,251.5322667312272,5,235,133.33333333333334,,
Spectral,0.8,0.19999999999999996,1337,30,spotify,20000,14,0.11099409568621868,1.8449254551337702,233.72043394431506,5,374,133.33333333333334,,
GMM,0.8,0.19999999999999996,1337,26,spotify,20000,14,-0.04136540555331338,3.9324571995076263,118.74646137504116,5,536,153.84615384615384,,
DBSCAN,0.8,0.19999999999999996,1337,9,spotify,20000,14,0.0033852518388623764,2.214353263660574,187.30327202145384,42,2567,444.44444444444446,0.0,0.0
AgglomerativeWard,0.8,0.19999999999999996,1337,30,spotify,20000,14,0.11300596132334934,1.809410988570849,249.98217333625647,4,311,133.33333333333334,,
AgglomerativeAverage,0.8,0.19999999999999996,1337,26,spotify,20000,14,,,,1,2063,153.84615384615384,,
Birch,0.8,0.19999999999999996,1337,30,spotify,20000,14,0.058053297575281305,2.13990157677867,198.4165478174445,3,309,133.33333333333334,,
