Feature,Mean,Std,Min,Max,Q1,Median,Q3
mfcc15_std,-2.6893051751876303e-16,1.0009975064824248,-2.0723596194020484,5.304148468969648,-0.6281884835902309,-0.13611546470120134,0.4622254258288134
mfcc16_mean,0.0,1.0009975064824248,-3.8733566591582256,3.1173354359455163,-0.516808047146835,0.09469569308044154,0.6362613344721065
mfcc16_std,1.4154237764145422e-16,1.0009975064824246,-2.222063670072496,5.152757240152777,-0.6554366666313065,-0.1068968712893072,0.5335401243670501
mfcc17_mean,5.661695105658169e-17,1.0009975064824248,-3.0640249472768235,4.715545310282195,-0.6644633268533724,-0.0717977611972424,0.4750661708256104
mfcc17_std,2.1231356646218134e-16,1.0009975064824248,-2.2349248771662356,4.627161477822448,-0.6667717579279332,-0.051745859308975496,0.5236283106162848
mfcc18_mean,0.0,1.0009975064824246,-3.6364449721755467,3.5520756922267647,-0.5889768464066154,0.0375441406164493,0.569206826238924
mfcc18_std,3.609330629857083e-16,1.0009975064824248,-2.2720715398131546,4.63961272270781,-0.6541072125301726,-0.10032180017254776,0.4997500221297914
mfcc19_mean,2.1231356646218133e-17,1.0009975064824248,-3.0256523142410137,4.813576517119775,-0.6500575520048151,0.010499500498898742,0.5666712961149284
mfcc19_std,-1.981593286980359e-16,1.0009975064824248,-2.0200015485964844,6.2532359563167175,-0.636272407638002,-0.09839794421741802,0.5266531254561628
mfcc20_mean,-1.4154237764145422e-17,1.0009975064824246,-3.427224615489402,4.340175987471639,-0.6296978819903172,-0.045100827884222344,0.5532045692618281
mfcc20_std,-9.200254546694525e-17,1.0009975064824248,-1.9642481372650191,8.448149728264498,-0.6215650263572869,-0.12915081059892317,0.47778352342284636
chroma1_mean,-3.715487413088173e-17,1.0009975064824248,-2.123615094927883,3.9891883905317242,-0.742008495921519,-0.13547080483676138,0.6611235215181119
chroma1_std,-4.387813706885081e-16,1.0009975064824248,-2.7190220825470597,2.388086551759128,-0.7078260804884094,0.07861308548355606,0.7471477130217637
chroma2_mean,-4.423199301295444e-17,1.0009975064824248,-2.1475273631018945,4.0670478680708735,-0.7560469406843116,-0.10094521970148801,0.5395641532100469
chroma2_std,-4.741669650988716e-16,1.0009975064824246,-2.7941239674418044,2.7340331406320657,-0.7440921865851523,-0.07132835201542725,0.6849865235172607
chroma3_mean,-2.866233147239448e-16,1.0009975064824246,-2.224498654361172,3.618848699237312,-0.7109857704883966,-0.1654880000049081,0.6264362526511772
chroma3_std,-7.430974826176346e-17,1.0009975064824248,-3.5328776854937636,2.6783748436538355,-0.593896076719847,0.048158408483298054,0.7226955453877859
chroma4_mean,-7.077118882072711e-18,1.0009975064824246,-2.009485021039468,3.849409919705621,-0.7536932665762806,-0.12510182746441958,0.5647115250785608
chroma4_std,-3.892415385139991e-16,1.0009975064824246,-2.9674687911115316,2.608081692963581,-0.7721284491321521,-0.04574048547785956,0.7675020683755059
chroma5_mean,-8.492542658487253e-17,1.0009975064824248,-2.1966686803721567,3.5575169889899736,-0.7434330487588203,-0.13141350772628857,0.6298214371214159
chroma5_std,-1.273881398773088e-16,1.0009975064824246,-3.7366527116252324,2.2551905088094335,-0.7221969376585293,0.08005112875134193,0.7807217444790839
chroma6_mean,-1.4154237764145422e-17,1.0009975064824248,-2.1663441705026565,3.985301473874178,-0.6849370545279088,-0.15381107604024952,0.6159716751219162
chroma6_std,-2.0877500702114499e-16,1.0009975064824248,-3.5329989544720015,2.14897100422128,-0.6198920395302223,0.14039242519863748,0.7391759616209987
chroma7_mean,-1.840050909338905e-16,1.0009975064824248,-2.0031959387452263,3.5012393853794253,-0.7354301570727062,-0.10097301681911196,0.6227595420691099
chroma7_std,-8.138686714383617e-16,1.0009975064824248,-3.0278574457770344,2.620399145806545,-0.7698333986554315,0.011284798313067619,0.756551419347637
chroma8_mean,-1.981593286980359e-16,1.0009975064824246,-2.0316898914939743,3.55208756054222,-0.7053183195986843,-0.08441591597459652,0.6346749188097084
chroma8_std,-3.18470349693272e-16,1.0009975064824246,-3.1701224670248727,2.1329195692100864,-0.566920321290068,0.13268583789958022,0.7515518300134278
chroma9_mean,-3.397017063394901e-16,1.0009975064824248,-2.027666324818333,3.6269841255059942,-0.7503176234015869,-0.08592497958799938,0.6656358475611612
chroma9_std,-6.192479021813623e-16,1.0009975064824246,-2.5454026548954025,2.6573846062221347,-0.7385259366383571,0.01579554874990744,0.7364411912274725
chroma10_mean,-2.1231356646218134e-16,1.0009975064824248,-2.3492386356563566,3.298024335953361,-0.7255578456235232,-0.09779081694004507,0.688476557854736
chroma10_std,-5.060140000681989e-16,1.0009975064824246,-4.011325715512073,2.1108899583626006,-0.6427796729248769,0.15271992914150329,0.7497154565292266
chroma11_mean,-2.2646780422632675e-16,1.0009975064824246,-2.1660815247945413,3.560860274529411,-0.66970819666317,-0.15780779385916804,0.6323929611345003
chroma11_std,-3.892415385139991e-16,1.0009975064824246,-3.2426869256266198,2.5529246683405917,-0.7360859270922588,-0.0005399596051410935,0.7421490512641431
